Timestamp,Open,High,Low,Close,Volume,Symbol
"Apr 19, 2020",7260.92,7280.52,7167.05,7189.42,31311210215.00,BTC/USD
"Apr 20, 2020",7186.87,7240.29,6835.50,6881.96,37747113936.00,BTC/USD
"Apr 21, 2020",6879.78,6934.55,6834.44,6880.32,32589741511.00,BTC/USD
"Apr 22, 2020",6879.44,7145.87,6867.78,7117.21,33249153866.00,BTC/USD
"Apr 23, 2020",7121.31,7491.78,7081.59,7429.72,43500782316.00,BTC/USD
"Apr 24, 2020",7434.18,7574.20,7434.18,7550.90,34636526286.00,BTC/USD
"Apr 25, 2020",7550.48,7641.36,7521.67,7569.94,32941541447.00,BTC/USD
"Apr 26, 2020",7570.14,7700.59,7561.41,7679.87,33070154491.00,BTC/USD
"Apr 27, 2020",7679.42,7795.60,7679.42,7795.60,36162144725.00,BTC/USD
"Apr 28, 2020",7796.97,7814.53,7730.81,7807.06,33187959921.00,BTC/USD
"Apr 29, 2020",7806.71,8871.75,7786.05,8801.04,60201052203.00,BTC/USD
"Apr 30, 2020",8797.67,9440.65,8533.26,8658.55,66964629541.00,BTC/USD
"May 01, 2020",8672.78,9048.02,8667.76,8864.77,44068389997.00,BTC/USD
"May 02, 2020",8869.06,9007.19,8811.37,8988.60,40134388683.00,BTC/USD
"May 03, 2020",8983.61,9167.78,8830.97,8897.47,47101785174.00,BTC/USD
"May 04, 2020",8895.74,8956.91,8645.02,8912.65,45718796276.00,BTC/USD
"May 05, 2020",8912.83,9062.41,8856.83,9003.07,43148462663.00,BTC/USD
"May 06, 2020",9007.44,9411.47,8966.71,9268.76,49371886931.00,BTC/USD
"May 07, 2020",9261.90,9992.66,9138.32,9951.52,61112700562.00,BTC/USD
"May 08, 2020",9936.16,9996.74,9767.17,9842.67,51780748042.00,BTC/USD
"May 09, 2020",9840.91,9913.86,9580.64,9593.90,46566121841.00,BTC/USD
"May 10, 2020",9591.17,9595.58,8395.11,8756.43,63325279337.00,BTC/USD
"May 11, 2020",8755.54,9033.47,8374.32,8601.80,57119858802.00,BTC/USD
"May 12, 2020",8610.39,8949.90,8569.64,8804.48,42142717533.00,BTC/USD
"May 13, 2020",8805.39,9317.88,8805.39,9269.99,45558144023.00,BTC/USD
"May 14, 2020",9271.33,9793.27,9255.03,9733.72,56426907637.00,BTC/USD
"May 15, 2020",9734.29,9755.83,9261.40,9328.20,48158802327.00,BTC/USD
"May 16, 2020",9333.24,9564.20,9260.69,9377.01,36164766408.00,BTC/USD
"May 17, 2020",9374.93,9823.00,9349.55,9670.74,40084250663.00,BTC/USD
"May 18, 2020",9675.69,9906.03,9570.36,9726.57,41827139896.00,BTC/USD
"May 19, 2020",9727.06,9836.05,9539.62,9729.04,39254288955.00,BTC/USD
"May 20, 2020",9725.33,9804.79,9447.20,9522.98,36546239703.00,BTC/USD
"May 21, 2020",9522.74,9555.24,8869.93,9081.76,39326160532.00,BTC/USD
"May 22, 2020",9080.33,9232.94,9008.64,9182.58,29810773699.00,BTC/USD
"May 23, 2020",9185.06,9302.50,9118.11,9209.29,27727866812.00,BTC/USD
"May 24, 2020",9212.28,9288.40,8787.25,8790.37,32518803300.00,BTC/USD
"May 25, 2020",8786.11,8951.01,8719.67,8906.93,31288157264.00,BTC/USD
"May 26, 2020",8909.59,8991.97,8757.29,8835.05,29584186947.00,BTC/USD
"May 27, 2020",8837.38,9203.32,8834.16,9181.02,32740536902.00,BTC/USD
"May 28, 2020",9184.94,9546.32,9148.46,9525.75,34367073114.00,BTC/USD
"May 29, 2020",9528.36,9573.67,9379.34,9439.12,32896642044.00,BTC/USD
"May 30, 2020",9438.91,9704.03,9366.73,9700.41,32722975141.00,BTC/USD
"May 31, 2020",9700.11,9700.34,9432.30,9461.06,27773290299.00,BTC/USD
"Jun 01, 2020",9463.61,10199.56,9450.90,10167.27,35198901068.00,BTC/USD
"Jun 02, 2020",10162.97,10182.34,9460.57,9529.80,39137252109.00,BTC/USD
"Jun 03, 2020",9533.76,9682.86,9471.85,9656.72,25007459262.00,BTC/USD
"Jun 04, 2020",9655.85,9887.61,9525.25,9800.64,25921805072.00,BTC/USD
"Jun 05, 2020",9800.22,9869.24,9663.22,9665.53,23509628646.00,BTC/USD
"Jun 06, 2020",9664.90,9773.43,9591.02,9653.68,20438419222.00,BTC/USD
"Jun 07, 2020",9653.00,9768.50,9458.15,9758.85,25015250846.00,BTC/USD
"Jun 08, 2020",9760.06,9782.31,9675.89,9771.49,21486346312.00,BTC/USD
"Jun 09, 2020",9774.36,9836.37,9664.72,9795.70,23717842783.00,BTC/USD
"Jun 10, 2020",9794.12,9908.90,9728.29,9870.09,25706567601.00,BTC/USD
