Timestamp,Open,High,Low,Close,Volume,Symbol,Market Cap
"Jan 17, 2021","$36,163.65","$36,722.35","$34,069.32","$35,791.28","$52,359,854,336",BTC/USD,"$665,831,621,391"
"Jan 16, 2021","$36,821.65","$37,864.37","$35,633.55","$36,178.14","$57,706,187,875",BTC/USD,"$673,000,645,231"
"Jan 15, 2021","$39,156.71","$39,577.71","$34,659.59","$36,825.37","$67,760,757,881",BTC/USD,"$685,005,864,471"
"Jan 14, 2021","$37,325.11","$39,966.41","$36,868.56","$39,187.33","$63,615,990,033",BTC/USD,"$728,904,366,964"
"Jan 13, 2021","$33,915.12","$37,599.96","$32,584.67","$37,316.36","$69,364,315,979",BTC/USD,"$694,069,582,194"
"Jan 12, 2021","$35,516.36","$36,568.53","$32,697.98","$33,922.96","$74,773,277,909",BTC/USD,"$630,920,422,745"
"Jan 11, 2021","$38,346.53","$38,346.53","$30,549.60","$35,566.66","$123,320,567,399",BTC/USD,"$661,457,321,418"
"Jan 10, 2021","$40,254.22","$41,420.19","$35,984.63","$38,356.44","$79,980,747,690",BTC/USD,"$713,304,617,761"
"Jan 09, 2021","$40,788.64","$41,436.35","$38,980.88","$40,254.55","$61,984,162,837",BTC/USD,"$748,563,483,043"
"Jan 08, 2021","$39,381.77","$41,946.74","$36,838.64","$40,797.61","$88,107,519,480",BTC/USD,"$758,625,941,267"
"Jan 07, 2021","$36,833.87","$40,180.37","$36,491.19","$39,371.04","$84,762,141,031",BTC/USD,"$732,062,681,138"
"Jan 06, 2021","$34,013.61","$36,879.70","$33,514.03","$36,824.36","$75,289,433,811",BTC/USD,"$684,671,246,324"
"Jan 05, 2021","$31,977.04","$34,437.59","$30,221.19","$33,992.43","$67,547,324,782",BTC/USD,"$631,980,005,970"
"Jan 04, 2021","$32,810.95","$33,440.22","$28,722.76","$31,971.91","$81,163,475,344",BTC/USD,"$594,384,025,391"
"Jan 03, 2021","$32,129.41","$34,608.56","$32,052.32","$32,782.02","$78,665,235,202",BTC/USD,"$609,409,213,147"
"Jan 02, 2021","$29,376.46","$33,155.12","$29,091.18","$32,127.27","$67,865,420,765",BTC/USD,"$597,205,944,669"
"Jan 01, 2021","$28,994.01","$29,600.63","$28,803.59","$29,374.15","$40,730,301,359",BTC/USD,"$546,001,594,838"
"Dec 31, 2020","$28,841.57","$29,244.88","$28,201.99","$29,001.72","$46,754,964,848",BTC/USD,"$539,051,138,108"
"Dec 30, 2020","$27,360.09","$28,937.74","$27,360.09","$28,840.95","$51,287,442,704",BTC/USD,"$536,033,807,161"
"Dec 29, 2020","$27,081.81","$27,370.72","$25,987.30","$27,362.44","$45,265,946,774",BTC/USD,"$508,523,687,097"
"Dec 28, 2020","$26,280.82","$27,389.11","$26,207.64","$27,084.81","$49,056,742,893",BTC/USD,"$503,339,329,917"
"Dec 27, 2020","$26,439.37","$28,288.84","$25,922.77","$26,272.29","$66,479,895,605",BTC/USD,"$488,213,268,382"
"Dec 26, 2020","$24,677.02","$26,718.07","$24,522.69","$26,437.04","$48,332,647,295",BTC/USD,"$491,250,863,157"
"Dec 25, 2020","$23,733.57","$24,710.10","$23,463.67","$24,664.79","$42,068,395,846",BTC/USD,"$458,297,232,692"
"Dec 24, 2020","$23,240.20","$23,768.34","$22,777.60","$23,735.95","$41,080,759,713",BTC/USD,"$441,017,197,764"
"Dec 23, 2020","$23,781.97","$24,024.49","$22,802.65","$23,241.34","$51,146,161,904",BTC/USD,"$431,808,778,580"
"Dec 22, 2020","$22,794.04","$23,789.90","$22,430.60","$23,783.03","$44,171,632,681",BTC/USD,"$441,850,902,134"
"Dec 21, 2020","$23,474.46","$24,059.98","$22,159.37","$22,803.08","$45,852,713,981",BTC/USD,"$423,625,088,584"
"Dec 20, 2020","$23,861.77","$24,209.66","$23,147.71","$23,477.30","$37,844,228,422",BTC/USD,"$436,129,331,482"
"Dec 19, 2020","$23,132.87","$24,085.86","$22,826.47","$23,869.83","$38,487,546,580",BTC/USD,"$443,399,267,277"
"Dec 18, 2020","$22,806.80","$23,238.60","$22,399.81","$23,137.96","$40,387,896,275",BTC/USD,"$429,781,092,528"
"Dec 17, 2020","$21,308.35","$23,642.66","$21,234.68","$22,805.16","$71,378,606,374",BTC/USD,"$423,576,934,966"
"Dec 16, 2020","$19,418.82","$21,458.91","$19,298.32","$21,310.60","$44,409,011,479",BTC/USD,"$395,799,863,746"
"Dec 15, 2020","$19,246.92","$19,525.01","$19,079.84","$19,417.08","$26,741,982,541",BTC/USD,"$360,614,771,027"
"Dec 14, 2020","$19,144.49","$19,305.10","$19,012.71","$19,246.64","$22,473,997,681",BTC/USD,"$357,432,550,020"
"Dec 13, 2020","$18,806.77","$19,381.54","$18,734.33","$19,142.38","$25,450,468,637",BTC/USD,"$355,479,173,806"
"Dec 12, 2020","$18,051.32","$18,919.55","$18,046.04","$18,803.66","$21,752,580,802",BTC/USD,"$349,170,613,899"
"Dec 11, 2020","$18,263.93","$18,268.45","$17,619.53","$18,058.90","$27,919,640,985",BTC/USD,"$335,326,168,919"
"Dec 10, 2020","$18,553.30","$18,553.30","$17,957.07","$18,264.99","$25,547,132,265",BTC/USD,"$339,136,939,586"
"Dec 09, 2020","$18,320.88","$18,626.29","$17,935.55","$18,553.92","$34,420,373,071",BTC/USD,"$344,486,483,494"
"Dec 08, 2020","$19,191.53","$19,283.48","$18,269.95","$18,321.14","$31,692,288,756",BTC/USD,"$340,148,764,252"
"Dec 07, 2020","$19,343.13","$19,411.83","$18,931.14","$19,191.63","$26,896,357,742",BTC/USD,"$356,293,229,783"
"Dec 06, 2020","$19,154.18","$19,390.50","$18,897.89","$19,345.12","$25,293,775,714",BTC/USD,"$359,123,541,247"
"Dec 05, 2020","$18,698.39","$19,160.45","$18,590.19","$19,154.23","$27,242,455,064",BTC/USD,"$355,563,938,256"
"Dec 04, 2020","$19,446.97","$19,511.40","$18,697.19","$18,699.77","$33,872,388,058",BTC/USD,"$347,111,351,136"
"Dec 03, 2020","$19,205.93","$19,566.19","$18,925.78","$19,445.40","$31,930,317,405",BTC/USD,"$360,933,936,017"
"Dec 02, 2020","$18,801.74","$19,308.33","$18,347.72","$19,201.09","$37,387,697,139",BTC/USD,"$356,381,007,571"
"Dec 01, 2020","$19,633.77","$19,845.98","$18,321.92","$18,803.00","$49,633,658,712",BTC/USD,"$348,976,597,318"
"Nov 30, 2020","$18,178.32","$19,749.26","$18,178.32","$19,625.84","$47,728,480,399",BTC/USD,"$364,229,729,426"
"Nov 29, 2020","$17,719.63","$18,283.63","$17,559.12","$18,177.48","$31,133,957,704",BTC/USD,"$337,336,592,123"
"Nov 28, 2020","$17,112.93","$17,853.94","$16,910.65","$17,717.42","$32,601,040,734",BTC/USD,"$328,782,832,212"
"Nov 27, 2020","$17,153.91","$17,445.02","$16,526.42","$17,108.40","$38,886,494,645",BTC/USD,"$317,464,460,530"
"Nov 26, 2020","$18,729.84","$18,866.29","$16,351.03","$17,150.62","$61,396,835,737",BTC/USD,"$318,231,964,319"
"Nov 25, 2020","$19,104.41","$19,390.97","$18,581.15","$18,732.12","$43,710,357,371",BTC/USD,"$347,558,803,507"
"Nov 24, 2020","$18,365.01","$19,348.27","$18,128.66","$19,107.46","$51,469,565,009",BTC/USD,"$354,504,361,032"
"Nov 23, 2020","$18,370.02","$18,711.43","$18,000.80","$18,364.12","$42,741,112,308",BTC/USD,"$340,698,070,308"
"Nov 22, 2020","$18,642.23","$18,688.97","$17,671.38","$18,370.00","$41,280,434,226",BTC/USD,"$340,790,183,317"
"Nov 21, 2020","$18,621.32","$18,936.62","$18,444.36","$18,642.23","$39,650,210,707",BTC/USD,"$345,819,234,185"
"Nov 20, 2020","$17,817.08","$18,773.23","$17,765.80","$18,621.31","$36,992,873,940",BTC/USD,"$345,411,881,099"
"Nov 19, 2020","$17,803.86","$18,119.55","$17,382.55","$17,817.09","$36,985,055,355",BTC/USD,"$330,475,167,134"
"Nov 18, 2020","$17,645.19","$18,393.95","$17,352.91","$17,804.01","$49,064,800,278",BTC/USD,"$330,218,014,062"
"Nov 17, 2020","$16,685.69","$17,782.92","$16,564.54","$17,645.41","$39,006,849,170",BTC/USD,"$327,257,094,857"
"Nov 16, 2020","$15,955.58","$16,816.18","$15,880.71","$16,716.11","$31,526,766,675",BTC/USD,"$309,889,423,249"
"Nov 15, 2020","$16,068.14","$16,123.11","$15,793.53","$15,955.59","$23,653,867,583",BTC/USD,"$295,790,551,598"
"Nov 14, 2020","$16,317.81","$16,317.81","$15,749.19","$16,068.14","$27,481,710,135",BTC/USD,"$297,877,068,423"
